id,item_id,category_id,"created_at","updated_at"
76,69,4,"2016-11-23 19:08:03","2016-11-23 19:08:03"
77,70,7,"2016-11-23 19:08:05","2016-11-23 19:08:05"
78,71,7,"2016-11-23 19:08:11","2016-11-23 19:08:11"
79,72,6,"2016-11-23 19:08:12","2016-11-23 19:08:12"
80,73,6,"2016-11-23 19:08:15","2016-11-23 19:08:15"
81,73,10,"2016-11-23 19:08:15","2016-11-23 19:08:15"
82,74,7,"2016-11-23 19:08:17","2016-11-23 19:08:17"
83,75,6,"2016-11-23 19:08:19","2016-11-23 19:08:19"
84,75,14,"2016-11-23 19:08:19","2016-11-23 19:08:19"
85,76,9,"2016-11-23 19:08:21","2016-11-23 19:08:21"
86,77,15,"2016-11-23 19:08:25","2016-11-23 19:08:25"
87,78,6,"2016-11-23 19:08:27","2016-11-23 19:08:27"
88,79,15,"2016-11-23 19:08:31","2016-11-23 19:08:31"
89,80,11,"2016-11-23 19:08:34","2016-11-23 19:08:34"
90,81,11,"2016-11-23 19:08:37","2016-11-23 19:08:37"
91,82,7,"2016-11-23 19:08:40","2016-11-23 19:08:40"
92,83,12,"2016-11-23 19:08:43","2016-11-23 19:08:43"
93,84,2,"2016-11-23 19:08:47","2016-11-23 19:08:47"
94,85,2,"2016-11-23 19:08:49","2016-11-23 19:08:49"
95,86,15,"2016-11-23 19:08:51","2016-11-23 19:08:51"
96,87,11,"2016-11-23 19:08:54","2016-11-23 19:08:54"
97,87,17,"2016-11-23 19:08:54","2016-11-23 19:08:54"
98,88,6,"2016-11-23 19:08:57","2016-11-23 19:08:57"
99,89,10,"2016-11-23 19:09:00","2016-11-23 19:09:00"
100,90,9,"2016-11-23 19:09:02","2016-11-23 19:09:02"
101,91,13,"2016-11-23 19:09:04","2016-11-23 19:09:04"
102,92,2,"2016-11-23 19:09:08","2016-11-23 19:09:08"
103,93,2,"2016-11-23 19:09:09","2016-11-23 19:09:09"
104,94,7,"2016-11-23 19:09:11","2016-11-23 19:09:11"
105,95,10,"2016-11-23 19:09:13","2016-11-23 19:09:13"
106,96,7,"2016-11-23 19:09:15","2016-11-23 19:09:15"
107,97,7,"2016-11-23 19:09:19","2016-11-23 19:09:19"
108,98,6,"2016-11-23 19:09:21","2016-11-23 19:09:21"
109,99,15,"2016-11-23 19:09:23","2016-11-23 19:09:23"
110,100,7,"2016-11-23 19:09:25","2016-11-23 19:09:25"
111,101,10,"2016-11-23 19:09:28","2016-11-23 19:09:28"
112,102,15,"2016-11-23 19:09:31","2016-11-23 19:09:31"
113,103,10,"2016-11-23 19:09:33","2016-11-23 19:09:33"
114,104,7,"2016-11-23 19:09:36","2016-11-23 19:09:36"
115,105,18,"2016-11-23 19:09:38","2016-11-23 19:09:38"
116,105,8,"2016-11-23 19:09:38","2016-11-23 19:09:38"
117,106,15,"2016-11-23 19:09:40","2016-11-23 19:09:40"
118,107,10,"2016-11-23 19:09:43","2016-11-23 19:09:43"
119,108,10,"2016-11-23 19:09:44","2016-11-23 19:09:44"
120,109,10,"2016-11-23 19:09:46","2016-11-23 19:09:46"
121,110,12,"2016-11-23 19:09:49","2016-11-23 19:09:49"
122,111,12,"2016-11-23 19:09:51","2016-11-23 19:09:51"
123,112,7,"2016-11-23 19:09:54","2016-11-23 19:09:54"
124,113,6,"2016-11-23 19:09:56","2016-11-23 19:09:56"
125,114,5,"2016-11-23 19:10:00","2016-11-23 19:10:00"
126,115,15,"2016-11-23 19:10:04","2016-11-23 19:10:04"
127,116,10,"2016-11-23 19:10:06","2016-11-23 19:10:06"
128,117,6,"2016-11-23 19:10:08","2016-11-23 19:10:08"
129,118,7,"2016-11-23 19:10:10","2016-11-23 19:10:10"
130,118,2,"2016-11-23 19:10:10","2016-11-23 19:10:10"
131,119,1,"2016-11-23 19:10:11","2016-11-23 19:10:11"
132,119,7,"2016-11-23 19:10:11","2016-11-23 19:10:11"
133,120,7,"2016-11-23 19:10:13","2016-11-23 19:10:13"
134,121,12,"2016-11-23 19:10:15","2016-11-23 19:10:15"
135,122,7,"2016-11-23 19:10:19","2016-11-23 19:10:19"
136,123,6,"2016-11-23 19:10:23","2016-11-23 19:10:23"
137,124,10,"2016-11-23 19:10:24","2016-11-23 19:10:24"
138,125,7,"2016-11-23 19:10:28","2016-11-23 19:10:28"
139,126,13,"2016-11-23 19:10:30","2016-11-23 19:10:30"
140,127,7,"2016-11-23 19:10:34","2016-11-23 19:10:34"
141,128,2,"2016-11-23 19:10:36","2016-11-23 19:10:36"
142,129,7,"2016-11-23 19:10:39","2016-11-23 19:10:39"
143,130,9,"2016-11-23 19:10:41","2016-11-23 19:10:41"
144,131,7,"2016-11-23 19:10:45","2016-11-23 19:10:45"
145,132,10,"2016-11-23 19:10:46","2016-11-23 19:10:46"
146,133,6,"2016-11-23 19:10:49","2016-11-23 19:10:49"
147,134,19,"2016-11-23 19:10:52","2016-11-23 19:10:52"
148,134,6,"2016-11-23 19:10:52","2016-11-23 19:10:52"
149,135,10,"2016-11-23 19:10:54","2016-11-23 19:10:54"
